code,company_name,industry,score_short_term,score_long_term,sentiment,reason,summary_3lines,risk_factors
9766,コナミグループ株式会社,ゲーム・エンタテインメント,9,8,Positive,"短期スコアは、デジタルエンタテインメント事業が既存主力タイトルと新作の両輪で絶好調であり、2期連続で過去最高益を更新した力強い業績モメンタムを評価。アミューズメントやゲーミング事業も堅調に推移しており、短期的な業績拡大に高い確度が見込めるため高スコアとした。
長期スコアは、「遊戯王」「eFootball」「パワプロ」等の強力なIPポートフォリオと、それらを活用したeスポーツ展開が安定した収益基盤を形成している点を評価。研究開発拠点への大型投資や、70%を超える高い自己資本比率に裏打ちされた健全な財務基盤は、変化の激しいエンタメ業界での持続的成長を支える強固な基盤となると判断。一方で、人材獲得競争や消費者嗜好の変化といった構造的リスクを考慮し、短期よりはやや抑えたスコアとした。","デジタルエンタテインメント事業が牽引し、売上高4,216億円（前期比17.0%増）、営業利益1,019億円（同27.0%増）と2年連続で過去最高業績を更新する大幅な増収増益を達成しました。
好調な本業により潤沢な営業キャッシュ・フローを創出する一方、新研究開発拠点「コナミクリエイティブフロント東京ベイ」建設など将来への戦略的投資を積極化させ、投資キャッシュ・フローのマイナス幅が拡大しています。
利益剰余金の積み上げにより自己資本比率は72.5%へと向上し、極めて健全な財務基盤を維持しながら、年間配当を165.5円に増配するなど株主還元も強化しています。","['消費者嗜好の急激な変化や競合との競争激化により、ヒット作を継続的に創出できないリスク。', 'デジタル人材の世界的な獲得競争が激化し、有能なクリエイターやエンジニアの確保・定着が困難になるリスク。', 'ゲーミング（カジノ）事業における各国の規制変更やライセンス更新、地政学的リスクを含む海外事業展開上の不確実性。']"
9766,コナミグループ株式会社,ゲーム・エンターテインメント,9,8,Positive,短期：主力のデジタルエンタテインメント事業が新作ヒットと既存IPの好調により、過去最高の業績を更新する強いモメンタムを維持しているため高評価。長期：「メタルギア」「サイレントヒル」「eFootball」等の強力なIPポートフォリオを多数保有し、それらを活用した継続的な収益創出能力と、75.7%という高い自己資本比率に裏付けられた盤石な財務基盤が持続的な成長を支えると評価。一方で、ゲーミング事業の不振やヒット作への依存構造が懸念点。,"売上高2,248億円(前年同期比22.1%増)、営業利益642億円(同28.9%増)と大幅な増収増益を達成し、2期連続で中間期として過去最高業績を更新。
主力のデジタルエンタテインメント事業が「METAL GEAR SOLID Δ」等の新作ヒットや既存IPの「eFootball™」の好調により、売上・利益ともに約3割増と業績を強力に牽引。
健全な財務基盤を維持しつつ、アミューズメント事業も大幅増益を達成したが、ゲーミング＆システム事業は外部環境の影響で減収減益となった。",世界経済の不確実性（米国の通商政策、中国経済、地政学リスク等）や為替変動。主力のデジタルエンタテインメント事業におけるヒット作への依存と開発サイクルの長期化。ゲーミング＆システム事業における海外の規制や関税措置、買い控え等の影響。
6758,ソニーグループ株式会社,総合電機・エンタテインメント,8,9,Positive,短期スコアは、中間期でゲーム、イメージセンサー、音楽の主要事業が力強く成長し、大幅増益を達成した点を評価。特にゲーム事業はネットワークサービスの増収やハードウェアの収益性改善が進み、好調なモメンタムが続いている。長期スコアは、エンタテインメント（ゲーム、音楽、映画）とテクノロジー（イメージセンサー）の両輪で構築された強力かつ多様な事業ポートフォリオが、持続的な競争優位性と成長の源泉となっている点を高く評価したため。,"2024年度中間期決算は、売上高5.9兆円（前年同期比+2%）、営業利益7,342億円（+42%）と大幅な増収増益を達成した。
ゲーム＆ネットワークサービス（G&NS）、イメージング＆センシング・ソリューション（I&SS）、音楽の主要3事業が好調で、金融分野の大幅減収を補い全体の成長を牽引した。
為替の円安効果も業績を押し上げ、ハードウェアの収益性改善なども進展しており、主要事業を中心に堅調な業績が続いている。","為替変動リスク：グローバルに事業を展開しており、業績が為替レートの変動に大きく影響される。
金融市場の変動リスク：金融事業の収益は、金利や株価などの市況変動により大きく変動する可能性がある。
コンテンツ事業の制作リスク：映画事業におけるハリウッドストライキのように、コンテンツ制作が外部要因で遅延・中断するリスク。
地政学的リスク：特に半導体（I&SS）事業において、米中対立などの主要顧客が所在する地域の政治・経済情勢が事業に影響を及ぼすリスク。"
6758,ソニーグループ株式会社,コングロマリット,8,9,Positive,短期スコアは、2024年度決算で営業利益が過去最高を更新し、主要な収益ドライバーであるゲーム事業（G&NS）とイメージセンサー事業（I&SS）の力強いモメンタムを評価したため。短期的にこの好調な業績が続くと期待される。長期スコアは、「クリエイティブエンタテインメントビジョン」という明確な経営戦略のもと、金融事業のスピンオフを通じて事業ポートフォリオを最適化し、成長分野への集中を加速させる点を高く評価したため。ゲーム、音楽、映画が持つ強力なIP（知的財産）と、イメージセンサーの技術的優位性を掛け合わせた事業間シナジーにより、持続的な企業価値向上が期待できる。,"2024年度は、金融事業の減収により連結売上高は微減となったが、ゲーム、イメージセンサー、音楽事業が好調で、営業利益は前年度比16.4%増の1兆4,072億円と大幅な増益を達成した。
特にゲーム＆ネットワークサービス（G&NS）分野はソフトウェア販売の増加やネットワークサービスの増収により、イメージング＆センシング・ソリューション（I&SS）分野は為替の好影響やモバイル向けイメージセンサーの増収により、利益成長を力強く牽引した。
2025年10月に金融事業のパーシャル・スピンオフを予定しており、エンタテインメントとテクノロジーを中核とする企業への変革を加速させ、株主還元も強化する方針を明確にしている。","多角的な事業ポートフォリオにおける各市場（ゲーム、エレクトロニクス、映画、音楽等）での激しい競争と、技術革新に対応するための研究開発投資の成否。
半導体等の重要部品におけるサプライチェーン寸断リスク、世界的な景気後退や地政学リスクによる消費者需要の変動。
グローバルな事業展開に伴う為替変動リスク、及びサイバー攻撃による情報漏洩やサービス停止などの情報セキュリティリスク。"
6758,ソニーグループ株式会社,総合電機・エンタテインメント（コングロマリット）,8,9,Positive,"短期：主力であるゲーム、イメージセンサー、音楽事業が力強く成長し、大幅な増益を牽引している。一部事業の不振や為替の逆風を十分にカバーしており、短期的な業績モメンタムは非常に強いと評価できるため。
長期：金融事業のスピンオフにより、成長領域であるエンタテインメントとテクノロジーへの経営資源の集中が加速する。強力なIPと技術力を背景とした事業ポートフォリオは、長期的な成長ポテンシャルが極めて高いと評価できるため。","G&NS（ゲーム）、I&SS（半導体）、音楽事業が牽引し、売上高は前年同期比3%増の5兆7,295億円、営業利益は20%増の7,689億円と大幅な増益を達成した。
ET&S（エンタメ・テクノロジー）事業はディスプレイ販売減により減収減益となったが、他事業の好調がこれを補った。
金融事業のパーシャル・スピンオフを実行し非継続事業に分類。今後はエンタテインメントとテクノロジーを中核とする事業構造へ移行する。",為替変動リスク（円高による減収・減益影響）、ET&S事業の不振（特にディスプレイ販売の低迷）、コンテンツ事業における減損リスク（Bungie社の減損計上実績あり）、各事業領域におけるグローバルでの激しい競争。
,ソニーフィナンシャルグループ株式会社,金融業（保険・銀行）,3,7,Neutral,短期的には、主力の生命保険事業が金融市場の変動により減収減益となり、本業の収益力が低下している。純利益の大幅増は価格変動準備金の取崩しという一過性の要因によるものであり、短期的な業績回復への懸念から短期スコアは低く評価した。長期的には、ソニーグループからのスピンオフ・再上場により経営の独立性が高まり、独自の成長戦略を迅速に実行できる体制となる点に期待。保険・銀行という安定した事業基盤と「ソニー」ブランドを活かし、「深化と探索」を掲げる中期経営計画の下で非金融接点の強化やグループ連携を通じた新たな顧客体験の創出が見込まれるため、長期スコアは高く評価した。,"2025年3月期決算は、生命保険事業における運用益の減少が響き、経常収益2.6兆円（前期比24.1%減）、経常利益449億円（同17.4%減）と減収減益であった。
一方で、親会社株主純利益は、ソニー生命における価格変動準備金の取崩しという特殊要因により、前期比91.4%増の788億円と大幅な増益を達成した。
親会社ソニーグループからのパーシャル・スピンオフによる2025年10月の再上場を予定しており、独立した経営体制の下で成長投資を加速させる方針である。",金融市場の変動（金利上昇等）による資産価値の毀損や生命保険事業の健全性悪化、大規模災害やパンデミックによる保険金支払いの急増、サイバー攻撃等によるシステム障害や情報漏洩、コンプライアンス違反による企業価値の毀損、新たな技術や消費者動向の変化への対応遅延による競争力低下。
7203,トヨタ自動車株式会社,自動車,3,7,Negative,短期スコアは、為替の追い風にもかかわらず販売台数の減少とコスト増により大幅減益となった点をネガティブに評価。短期的な収益環境は厳しい。長期スコアは、世界トップクラスの財務基盤、ブランド力、ハイブリッド技術における競争優位性を評価。EVシフトへの対応は引き続き課題だが、継続的な研究開発投資により長期的な競争力は維持されると判断。,"2024年9月中間期は、為替の円安効果が寄与し前年同期比5.9%の増収（23.3兆円）を達成した。
一方で、グローバルでの販売台数減少（4.0%減）や諸経費の増加が響き、営業利益は同3.7%減（2.5兆円）、親会社株主帰属中間利益は同26.4%減（1.9兆円）と大幅な減益となった。
特に日本や北米市場での販売不振が利益を圧迫しており、コスト管理と販売回復が短期的な課題となっている。",グローバルでの販売台数減少とそれに伴う収益性の悪化。特に北米市場における諸経費の増加による大幅な減益。日野自動車の認証不正問題に関連する費用やブランドイメージへの影響。アルゼンチン等新興国における高インフレや通貨安。タカタ製エアバッグや排ガスフィルターに関する訴訟などの偶発債務。
8058,三菱商事株式会社,総合商社,7,6,Neutral,純利益はローソンの再評価益や資産売却益といった一過性要因により大幅増益となり、短期的にはポジティブ。しかし、本業の収益力を示す売上総利益は減益となっており、事業環境の不透明感は残る。長期的な成長は、資産ポートフォリオ改革の進捗と、資源市況やマクロ経済の動向に左右されるため、一過性利益を除いた実質的な収益力を見極める必要がある。,"売上総利益は豪州原料炭の販売数量減少により前年同期比で減益となった。
一方で、ローソンの持分法適用会社化に伴う再評価益や豪州原料炭事業の一部売却益といった一過性利益が寄与し、中間純利益は大幅に増加した。
資産ポートフォリオの入れ替えが利益に大きく貢献したものの、本業の収益力や商品市況への依存という課題は依然として残る。",世界的なマクロ経済環境の変動（特に中国経済の先行き懸念や地政学リスク）、原油・LNG・原料炭・銅などの商品市況の変動、大規模な海外事業投資におけるカントリーリスクや事業再編に伴う影響。
7974,任天堂株式会社,ゲーム・エンターテインメント,3,8,Negative,短期スコアは、前年同期の大ヒット作の反動による大幅な減収減益と、発売8年目に入ったNintendo Switchの販売モメンタム低下を反映し低く評価。一方、長期スコアは、世界有数の強力なIP群と約1兆円の潤沢な手元資金を背景とした次世代機開発やIP多角化戦略のポテンシャルを高く評価した。,"前年同期の『ゼルダの伝説 ティアーズ オブ ザ キングダム』大ヒットの反動により、売上高5,232億円（前年同期比34.3%減）、営業利益1,215億円（同56.6%減）と大幅な減収減益となった。
発売8年目を迎えたNintendo Switchのハードウェア販売は472万台（同31.0%減）、ソフトウェアは7,028万本（同27.6%減）と落ち込み、プラットフォームの勢いに陰りが見られる。
今後は、年末商戦向けの新作タイトルで販売の最大化を図りつつ、次世代機への期待が市場の焦点となるが、自己資本比率82.6%と財務基盤は極めて強固である。",Nintendo Switchのライフサイクル後期化に伴う販売台数の減少。次世代機への移行が円滑に進まないリスク。特定の大ヒットタイトルへの業績依存と、その反動による収益変動。海外売上高比率が高いため（74.7%）、為替変動が業績に与える影響。
7974,任天堂株式会社,ゲーム,3,8,Neutral,短期スコアは、Nintendo Switchサイクルの末期に入り、新ハードへの端境期であるため2025年3月期が大幅な減収減益となった点を反映。長期スコアは、世界有数の強力なIPポートフォリオを基盤としたハード・ソフト一体型ビジネスの潜在的な収益力の高さを評価。後継機「Nintendo Switch 2」が成功すれば、再び大きな成長サイクルに入る可能性が高い。,"2025年3月期決算は、前期の大型ヒット作の反動により売上高1兆1,649億円（前期比30.3%減）、営業利益2,825億円（同46.6%減）と大幅な減収減益を記録した。
発売9年目を迎えたNintendo Switchはハード・ソフト共に販売が減速したものの、プラットフォームとしては依然として堅調な販売状況を維持している。
2025年6月に後継機「Nintendo Switch 2」を発売しており、今後の業績はこの新ハードウェアの販売動向とソフトウェアのラインナップが最大の鍵となる。",為替レートの変動（海外売上比率7割超）、市場環境の変化や他社との熾烈な競争、ヒット作の有無に左右される新製品開発リスク、外部企業への製造依存によるサプライチェーンの脆弱性。
